OBJECTID,GEOID,Name,Population,AggregateIncome,PCIAdjusted,ACSVintage,Jurisdiction,CRA_ID,CRAGroup,CRAName,CRANeighborhoods,TractLabel
1,53033000101,"Census Tract 1.01, King County, Washington",3659,117927500,32229,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.01
2,53033000102,"Census Tract 1.02, King County, Washington",4539,247427600,54511,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.02
3,53033000201,"Census Tract 2.01, King County, Washington",4680,283150200,60502,5Y20,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.01
4,53033000202,"Census Tract 2.02, King County, Washington",4194,172241600,41069,5Y20,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.02
5,53033000300,"Census Tract 3, King County, Washington",2943,140905100,47878,5Y20,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst",3
6,53033000402,"Census Tract 4.02, King County, Washington",5374,295563600,54999,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.02
7,53033000403,"Census Tract 4.03, King County, Washington",3347,138588800,41407,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.03
8,53033000404,"Census Tract 4.04, King County, Washington",3739,130479000,34897,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.04
9,53033000500,"Census Tract 5, King County, Washington",3143,280541500,89259,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5
10,53033000601,"Census Tract 6.01, King County, Washington",4758,202368300,42532,5Y20,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst",6.01
11,53033000602,"Census Tract 6.02, King County, Washington",3883,163401700,42081,5Y20,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst",6.02
12,53033000700,"Census Tract 7, King County, Washington",5529,232168400,41991,5Y20,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",7
13,53033000800,"Census Tract 8, King County, Washington",2849,158820300,55746,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8
